time,temperature,humidity,windspeed,city
2025-10-04T00:00,26.0,95,2.1,Hanoi
2025-10-04T01:00,27.6,89,4.3,Hanoi
2025-10-04T02:00,29.2,81,4.7,Hanoi
2025-10-04T03:00,30.2,74,5.1,Hanoi
2025-10-04T04:00,31.1,68,5.6,Hanoi
2025-10-04T05:00,31.7,65,6.6,Hanoi
2025-10-04T06:00,31.8,67,8.0,Hanoi
2025-10-04T07:00,32.0,67,9.5,Hanoi
2025-10-04T08:00,31.1,72,11.6,Hanoi
2025-10-04T09:00,30.6,73,11.9,Hanoi
2025-10-04T10:00,30.3,71,10.5,Hanoi
2025-10-04T11:00,29.0,77,6.2,Hanoi
2025-10-04T12:00,28.0,82,6.0,Hanoi
2025-10-04T13:00,27.4,86,5.9,Hanoi
2025-10-04T14:00,26.8,90,5.1,Hanoi
2025-10-04T15:00,26.4,92,4.9,Hanoi
2025-10-04T16:00,26.1,93,4.1,Hanoi
2025-10-04T17:00,25.8,94,2.9,Hanoi
2025-10-04T18:00,25.6,95,1.0,Hanoi
2025-10-04T19:00,25.3,96,2.0,Hanoi
2025-10-04T20:00,24.8,98,3.4,Hanoi
2025-10-04T21:00,24.7,98,3.6,Hanoi
2025-10-04T22:00,24.5,98,3.6,Hanoi
2025-10-04T23:00,24.5,98,4.1,Hanoi
2025-10-05T00:00,25.5,96,4.8,Hanoi
2025-10-05T01:00,27.4,89,8.4,Hanoi
2025-10-05T02:00,29.0,81,10.2,Hanoi
2025-10-05T03:00,30.4,72,11.0,Hanoi
2025-10-05T04:00,31.5,67,10.0,Hanoi
2025-10-05T05:00,32.5,63,9.5,Hanoi
2025-10-05T06:00,33.1,60,10.5,Hanoi
2025-10-05T07:00,33.4,58,10.8,Hanoi
2025-10-05T08:00,33.4,57,10.9,Hanoi
2025-10-05T09:00,33.1,57,10.0,Hanoi
2025-10-05T10:00,32.1,62,6.9,Hanoi
2025-10-05T11:00,30.3,70,5.0,Hanoi
2025-10-05T12:00,29.3,73,5.9,Hanoi
2025-10-05T13:00,28.8,74,5.9,Hanoi
2025-10-05T14:00,28.4,75,6.3,Hanoi
2025-10-05T15:00,28.0,78,5.9,Hanoi
2025-10-05T16:00,27.9,78,6.3,Hanoi
2025-10-05T17:00,27.7,78,6.6,Hanoi
2025-10-05T18:00,27.6,78,6.4,Hanoi
2025-10-05T19:00,27.5,78,5.9,Hanoi
2025-10-05T20:00,27.3,79,5.5,Hanoi
