title,summary,link
"Bổ sung vốn cho 13 bộ, cơ quan trung ương, địa phương sau sắp xếp bộ máy","Ủy ban Thường vụ Quốc hội nhất trí chuyển 3.270 tỷ đồng từ 9 bộ, 3 địa phương để tăng tương ứng cho 3 bộ, cơ quan và 13 địa phương sau sắp xếp bộ máy hành chính.",https://vnexpress.net/bo-sung-von-cho-13-bo-co-quan-trung-uong-dia-phuong-sau-sap-xep-bo-may-4942047.html
Khi thầy cô bị tấn công,"Sau án kỷ luật, chúng ta có thể làm gì thêm để học sinh không tái phạm?",https://vnexpress.net/khi-thay-co-bi-tan-cong-4941944.html
"Israel phóng tên lửa vào Lebanon, 4 công dân Mỹ thiệt mạng","UAV Israel phóng hai tên lửa vào xe máy được cho là của thành viên Hezbollah ở miền nam Lebanon, khiến 5 người thiệt mạng, trong đó có 4 công dân Mỹ.",https://vnexpress.net/israel-phong-ten-lua-vao-lebanon-4-cong-dan-my-thiet-mang-4941859.html
Thủ tướng chúc mừng Đức Phúc vô địch Intervision,"Thủ tướng Phạm Minh Chính nói thành tích Đức Phúc ở Intervision 2025 ""là niềm tự hào chung của nền âm nhạc đương đại và văn hóa Việt Nam"".",https://vnexpress.net/thu-tuong-chuc-mung-duc-phuc-vo-dich-intervision-4941898.html
Hà Nội sẽ xây dựng công viên dọc sông Tô Lịch,"Dự án công viên dọc sông Tô Lịch có tổng đầu tư dự kiến hơn 4.600 tỷ đồng với nhiều hạng mục như: quảng trường, sân chơi, đường dạo, cây xanh...",https://vnexpress.net/ha-noi-se-xay-dung-cong-vien-doc-song-to-lich-4942042.html
Ông Bùi Văn Khắng giữ chức Chủ tịch UBND tỉnh Quảng Ninh,"Quảng NinhSáng 22/9, ông Bùi Văn Khắng, 54 tuổi, Thứ trưởng Tài chính, nhận quyết định điều động giữ chức Phó bí thư Tỉnh ủy và được bầu làm Chủ tịch UBND tỉnh Quảng Ninh.",https://vnexpress.net/ong-bui-van-khang-giu-chuc-chu-tich-ubnd-tinh-quang-ninh-4941882.html
Philippines 'chuẩn bị cho kịch bản xấu nhất' khi siêu bão Ragasa áp sát,"Philippines đóng cửa các trụ sở chính quyền và trường học tại nhiều khu vực trên cả nước để ứng phó siêu bão Ragasa, sẵn sàng cho kịch bản xấu nhất.",https://vnexpress.net/philippines-chuan-bi-cho-kich-ban-xau-nhat-khi-sieu-bao-ragasa-ap-sat-4941972.html
Thi thể bé gái trong bao tải được phát hiện sau 5 tiếng tìm kiếm,"Thanh HóaSau buổi gặt lúa trở về không thấy cháu gái, ông Trịnh Văn Tân hô hoán người thân tìm kiếm, đến nửa đêm phát hiện thi thể bé trong bao tải ở góc vườn nhà.",https://vnexpress.net/thi-the-be-gai-trong-bao-tai-duoc-phat-hien-sau-5-tieng-tim-kiem-4942001.html
Vợ Charlie Kirk tha thứ cho kẻ ám sát chồng,"Erika Kirk, vợ của nhà hoạt động Charlie Kirk, tuyên bố tha thứ cho Tyler Robinson, người bị bắt với cáo buộc nổ súng ám sát chồng cô.",https://vnexpress.net/vo-charlie-kirk-tha-thu-cho-ke-am-sat-chong-4941838.html
Tập đoàn Costco muốn tăng hợp tác với nhà cung cấp Việt,"Tập đoàn Costco muốn tiếp tục hợp tác với các nhà cung cấp chính của Việt Nam, với giá trị nhập khẩu hàng hóa có thể đạt trên 1 tỷ USD mỗi năm.",https://vnexpress.net/tap-doan-costco-muon-tang-hop-tac-voi-nha-cung-cap-viet-4941867.html
Học sinh cứu bạn thoát chết vụ thảm án ở Đăk Lăk được tuyên dương,"Thạch Chí Khang, học sinh lớp 5 Trường Tiểu học Trần Quốc Tuấn, được chính quyền và ngành giáo dục tuyên dương vì cứu bạn thoát khỏi tay kẻ thảm sát.",https://vnexpress.net/hoc-sinh-cuu-ban-thoat-chet-vu-tham-an-o-dak-lak-duoc-tuyen-duong-4941963.html
Khởi tố vụ án tài xế say rượu tông chết 3 mẹ con ở TP HCM,"Cơ quan điều tra xác định có dấu hiệu tội phạm trong vụ Nguyễn Đức Thanh Nam, 32 tuổi, sau khi uống bia rượu đã lái ôtô tông 3 mẹ con bé trai tử vong.",https://vnexpress.net/khoi-to-vu-an-tai-xe-say-ruou-tong-chet-3-me-con-o-tp-hcm-4941675.html
Mitsubishi Xpander phiên bản mới ra mắt khách Việt,"Mẫu MPV bán chạy của Mitsubishi nâng cấp thiết kế và công nghệ, thêm trang bị an toàn, giá tăng 1 triệu đồng.",https://vnexpress.net/mitsubishi-xpander-phien-ban-moi-ra-mat-khach-viet-4941740.html
Indonesia đối diện nhiều bất lợi trước vòng loại bốn World Cup 2026,"Theo trang CNN Indonesia, đội tuyển xứ vạn đảo sẽ gặp bốn bất lợi ngoài chuyên môn khi sang Tây Á thi đấu vòng loại bốn World Cup 2026 – khu vực châu Á.",https://vnexpress.net/indonesia-doi-dien-nhieu-bat-loi-truoc-vong-loai-bon-world-cup-2026-4942056.html
