time,temperature
2025-09-22T00:00,26.3
2025-09-22T01:00,26.6
2025-09-22T02:00,26.9
2025-09-22T03:00,28.0
2025-09-22T04:00,28.8
2025-09-22T05:00,29.5
2025-09-22T06:00,29.0
2025-09-22T07:00,28.3
2025-09-22T08:00,28.1
2025-09-22T09:00,28.4
2025-09-22T10:00,28.3
2025-09-22T11:00,27.8
2025-09-22T12:00,27.3
2025-09-22T13:00,26.7
2025-09-22T14:00,26.5
2025-09-22T15:00,26.1
2025-09-22T16:00,26.0
2025-09-22T17:00,25.8
2025-09-22T18:00,25.6
2025-09-22T19:00,25.4
2025-09-22T20:00,25.4
2025-09-22T21:00,25.3
2025-09-22T22:00,25.3
2025-09-22T23:00,25.3
2025-09-23T00:00,26.0
2025-09-23T01:00,27.2
2025-09-23T02:00,27.9
2025-09-23T03:00,28.9
2025-09-23T04:00,29.9
2025-09-23T05:00,30.7
2025-09-23T06:00,31.1
2025-09-23T07:00,31.6
2025-09-23T08:00,31.6
2025-09-23T09:00,31.0
2025-09-23T10:00,30.4
2025-09-23T11:00,29.4
2025-09-23T12:00,28.7
2025-09-23T13:00,28.2
2025-09-23T14:00,27.8
2025-09-23T15:00,27.6
2025-09-23T16:00,27.6
2025-09-23T17:00,27.4
2025-09-23T18:00,27.1
2025-09-23T19:00,26.8
2025-09-23T20:00,26.7
2025-09-23T21:00,26.7
2025-09-23T22:00,26.6
2025-09-23T23:00,26.4
2025-09-24T00:00,27.1
2025-09-24T01:00,28.6
2025-09-24T02:00,30.0
2025-09-24T03:00,31.1
2025-09-24T04:00,31.7
2025-09-24T05:00,32.3
2025-09-24T06:00,33.8
2025-09-24T07:00,34.4
2025-09-24T08:00,34.5
2025-09-24T09:00,34.2
2025-09-24T10:00,33.2
2025-09-24T11:00,31.5
2025-09-24T12:00,30.0
2025-09-24T13:00,29.3
2025-09-24T14:00,29.2
2025-09-24T15:00,28.8
2025-09-24T16:00,28.4
2025-09-24T17:00,28.1
2025-09-24T18:00,27.6
2025-09-24T19:00,27.3
2025-09-24T20:00,27.2
2025-09-24T21:00,27.1
2025-09-24T22:00,26.9
2025-09-24T23:00,26.9
2025-09-25T00:00,27.2
2025-09-25T01:00,27.6
2025-09-25T02:00,27.6
2025-09-25T03:00,28.0
2025-09-25T04:00,28.1
2025-09-25T05:00,28.4
2025-09-25T06:00,28.1
2025-09-25T07:00,27.8
2025-09-25T08:00,27.4
2025-09-25T09:00,27.0
2025-09-25T10:00,26.5
2025-09-25T11:00,26.1
2025-09-25T12:00,25.7
2025-09-25T13:00,25.5
2025-09-25T14:00,25.3
2025-09-25T15:00,25.2
2025-09-25T16:00,25.0
2025-09-25T17:00,24.7
2025-09-25T18:00,24.5
2025-09-25T19:00,24.3
2025-09-25T20:00,24.1
2025-09-25T21:00,24.0
2025-09-25T22:00,24.0
2025-09-25T23:00,24.3
2025-09-26T00:00,24.8
2025-09-26T01:00,26.0
2025-09-26T02:00,27.5
2025-09-26T03:00,28.8
2025-09-26T04:00,29.4
2025-09-26T05:00,29.8
2025-09-26T06:00,30.0
2025-09-26T07:00,30.1
2025-09-26T08:00,30.1
2025-09-26T09:00,29.8
2025-09-26T10:00,29.0
2025-09-26T11:00,28.1
2025-09-26T12:00,27.3
2025-09-26T13:00,26.9
2025-09-26T14:00,26.7
2025-09-26T15:00,26.6
2025-09-26T16:00,26.3
2025-09-26T17:00,26.1
2025-09-26T18:00,25.9
2025-09-26T19:00,25.7
2025-09-26T20:00,25.5
2025-09-26T21:00,25.4
2025-09-26T22:00,25.3
2025-09-26T23:00,25.3
2025-09-27T00:00,25.5
2025-09-27T01:00,26.1
2025-09-27T02:00,26.8
2025-09-27T03:00,27.3
2025-09-27T04:00,27.4
2025-09-27T05:00,27.4
2025-09-27T06:00,27.3
2025-09-27T07:00,27.3
2025-09-27T08:00,27.3
2025-09-27T09:00,27.1
2025-09-27T10:00,26.7
2025-09-27T11:00,26.1
2025-09-27T12:00,25.6
2025-09-27T13:00,25.4
2025-09-27T14:00,25.2
2025-09-27T15:00,25.1
2025-09-27T16:00,25.0
2025-09-27T17:00,24.9
2025-09-27T18:00,24.8
2025-09-27T19:00,24.7
2025-09-27T20:00,24.6
2025-09-27T21:00,24.6
2025-09-27T22:00,24.5
2025-09-27T23:00,24.5
2025-09-28T00:00,24.8
2025-09-28T01:00,25.4
2025-09-28T02:00,26.2
2025-09-28T03:00,27.1
2025-09-28T04:00,27.9
2025-09-28T05:00,28.7
2025-09-28T06:00,29.2
2025-09-28T07:00,29.4
2025-09-28T08:00,29.3
2025-09-28T09:00,28.9
2025-09-28T10:00,28.1
2025-09-28T11:00,27.1
2025-09-28T12:00,26.2
2025-09-28T13:00,25.8
2025-09-28T14:00,25.6
2025-09-28T15:00,25.4
2025-09-28T16:00,25.2
2025-09-28T17:00,24.9
2025-09-28T18:00,24.7
2025-09-28T19:00,24.7
2025-09-28T20:00,24.7
2025-09-28T21:00,24.7
2025-09-28T22:00,24.7
2025-09-28T23:00,24.6
